"Modifications"	"Proteins"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"Experiment QC02_210326"	"Experiment QC02_210331"	"Experiment QC02_210402"	"Experiment QC02_210406"	"Experiment QC02_210410"	"Experiment QC02_210411"	"Potential contaminant"	"Reverse"
"Unmodified"	"Q6XQN6"	8136500	0	7721600	0	10593000	0	1	NA	1	NA	1	NA	NA	NA
"Unmodified"	"P57740"	10205000	6449300	8605600	20141000	15644000	16137000	2	1	2	2	2	2	NA	NA
"Oxidation (M)"	"P13645;CON__P13645"	0	1562800	0	0	19107000	4672200	NA	1	NA	NA	2	1	"+"	NA
"Unmodified"	"Q9NVS9"	0	12445000	9370700	2926900	19805000	3568600	NA	1	1	1	1	1	NA	NA
"Unmodified"	"Q8IZL8"	0	0	1149800	2918500	4474900	2543500	NA	NA	1	1	1	1	NA	NA
"Unmodified"	"P48163"	4554300	5752000	2770700	0	4091600	0	1	1	1	NA	1	NA	NA	NA
"Unmodified"	"P08574"	3444200	7002400	3814700	10875000	0	12605000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"O43390"	11280000	13649000	11234000	24593000	9263500	26805000	1	1	1	1	1	1	NA	NA
"Unmodified"	"CON__Q3MHN5"	0	7569200	5398400	3220200	0	2486800	NA	1	1	1	NA	1	"+"	NA
"Unmodified"	"Q99459"	2182900	2623400	0	5502100	0	6518600	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"P52789"	1808600	3208900	1937500	6656300	4065600	4823000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q15050"	0	0	0	0	0	0	NA	NA	1	NA	NA	1	NA	NA
"Unmodified"	"P61019"	27794000	26848000	21422000	45107000	36371000	37576000	2	1	2	2	2	1	NA	NA
"Unmodified"	"Q8NI36"	4436300	6457900	0	5462900	0	0	1	1	NA	1	1	NA	NA	NA
"Unmodified"	"A6NHR9"	0	3484700	2104600	91347000	0	0	NA	1	1	1	NA	NA	NA	NA
"Unmodified"	"O00159"	5992700	8289200	6170300	14597000	9462900	13249000	1	1	1	1	2	2	NA	NA
"Unmodified"	"P49327"	20515000	22599000	0	47236000	7645000	45826000	2	1	NA	2	2	3	NA	NA
"Unmodified"	"Q5SSJ5"	11931000	0	12442000	32395000	0	38360000	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q9Y2S6;A0A024R1R8"	2063400	2192200	238610	766900	472630	1811100	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q5JTV8"	0	2163300	1889100	0	0	0	NA	1	1	NA	NA	NA	NA	NA
"Unmodified"	"P04075"	248520000	259830000	197500000	456350000	371350000	498920000	1	1	1	1	2	1	NA	NA
"Unmodified"	"Q9UHD8"	5953600	6340200	4066400	10345000	6403000	9658200	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q15155;Q5JPE7;P69849"	5314800	642380	2195300	15669000	8793400	11275000	2	1	1	2	2	2	NA	NA
"Oxidation (M)"	"CON__P08729;P08729;CON__Q3KNV1"	8081500	9650800	5814700	14918000	27138000	15552000	1	1	1	1	1	1	"+"	NA
"Unmodified"	"Q15257"	2896400	2398400	0	4719800	0	2518900	1	1	NA	1	NA	2	NA	NA
"Unmodified"	"O75369"	11266000	0	4797600	22543000	0	20187000	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q00610"	14991000	19193000	18345000	34119000	53121000	29596000	2	2	2	2	2	2	NA	NA
"Unmodified"	"O95394"	4867700	7665400	0	12860000	7064100	12865000	1	1	NA	1	1	1	NA	NA
"Unmodified"	"P52209"	5539500	9273800	4852500	9753900	0	9771200	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q9NZM1"	8288600	10451000	9634100	22375000	13259000	19129000	1	1	1	2	2	2	NA	NA
"Unmodified"	"P83731"	172650000	194850000	0	338800000	232670000	338010000	1	2	NA	2	2	1	NA	NA
"Oxidation (M)"	"Q16643"	0	0	1676900	3396600	2032200	2374100	NA	NA	1	1	1	1	NA	NA
"Unmodified"	"Q9NXV6"	0	0	0	2271100	3262800	0	NA	NA	NA	1	1	NA	NA	NA
"Unmodified"	"Q7Z6Z7"	9625000	11684000	11290000	21244000	17214000	20741000	2	2	2	2	2	2	NA	NA
"Unmodified"	"O95757"	0	3118700	3341500	0	0	0	NA	1	1	NA	NA	NA	NA	NA
"Unmodified"	"Q7Z2K6"	0	8130300	0	0	6761200	12365000	NA	1	NA	NA	1	1	NA	NA
"Unmodified"	"Q08J23"	3976000	5345500	3550200	11724000	19578000	12349000	1	1	1	1	1	2	NA	NA
"Unmodified"	"P35606"	8675700	9734900	7249100	15368000	20908000	18642000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P46109"	4468000	5441600	4747500	7961400	6093300	9966000	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"Q9H2W6"	1207800	1608200	1616700	3159900	1261200	2248100	1	1	1	1	1	1	NA	NA
"Unmodified"	"P51649"	1604800	0	1434200	3147000	1774700	1900900	1	NA	1	1	1	1	NA	NA
"Unmodified"	"O60216"	0	1532600	0	0	0	4190000	NA	1	NA	NA	NA	1	NA	NA
"Oxidation (M)"	"P05023"	0	0	0	0	0	4793900	NA	NA	NA	NA	NA	1	NA	NA
"Unmodified"	"O15156"	970670	0	0	0	1219400	2017700	1	NA	NA	NA	1	1	NA	NA
"Unmodified"	"O14976"	0	0	820230	0	1690300	1701400	NA	NA	1	NA	1	1	NA	NA
"Unmodified"	"Q15370"	19725000	33650000	13940000	43511000	30688000	44316000	1	2	1	1	1	1	NA	NA
"Unmodified"	"Q9NVU0"	0	950590	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"P48059"	3541900	6902100	2824900	9964500	7913500	7986900	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q93050"	1661800	2447900	2426400	0	0	0	1	1	1	NA	NA	NA	NA	NA
"Unmodified"	"Q7KZ85"	920990	0	1287300	3985100	0	1536500	1	NA	1	2	NA	1	NA	NA
"Unmodified"	"P11586"	44328000	52536000	46393000	94025000	74648000	91302000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q99661"	0	0	0	0	4827700	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"Q16666"	0	2813100	1561900	0	0	0	1	1	1	NA	NA	NA	NA	NA
"Unmodified"	"Q92766"	2018200	0	2785900	4935700	7781000	4918000	1	NA	1	1	1	1	NA	NA
"Unmodified"	"P26038;P15311;P35241"	7648400	18942000	13386000	14340000	39034000	26441000	1	2	2	1	2	2	NA	NA
"Unmodified"	"Q15334"	0	2765700	1709200	0	22284000	0	NA	1	1	NA	2	NA	NA	NA
"Unmodified"	"Q6RFH5"	7513200	9855500	7888400	5083800	0	8744100	2	2	2	1	NA	1	NA	NA
"Unmodified"	"Q8NFH5"	0	1662400	0	0	10997000	0	NA	1	NA	NA	1	NA	NA	NA
"Unmodified"	"Q10570"	3246000	2598400	2776600	6779700	5779100	6403600	1	1	1	1	1	1	NA	NA
"Unmodified"	"P63151;Q66LE6;Q00005;Q9Y2T4"	15738000	19966000	15236000	29717000	24254000	30525000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P07711"	5372300	5542700	845960	0	5105300	0	1	1	1	NA	1	NA	NA	NA
"Oxidation (M)"	"P31327"	16607000	16113000	17120000	27789000	24362000	27949000	2	2	3	2	2	2	NA	NA
"Unmodified"	"Q9Y285"	2900000	1950000	2105900	7134100	0	5014900	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P63244"	50342000	52747000	48019000	104430000	160740000	116020000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q15257"	7400100	6764500	7330900	15126000	0	11745000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P31943"	4987900	8720900	6632700	10914000	4588500	11454000	1	1	2	2	1	2	NA	NA
"Unmodified"	"P49642"	1617100	0	1512900	3925800	0	3073300	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"P51149"	20427000	25447000	19791000	41016000	78042000	54157000	3	2	3	3	2	3	NA	NA
"Oxidation (M)"	"CON__Q3T052"	8042000	2365100	0	14844000	6249000	12318000	3	1	NA	3	2	3	"+"	NA
"Unmodified"	"P31749"	1022600	0	0	1804300	0	1704400	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q53HC9"	2899300	0	0	5099800	2823500	4163300	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"Q9NSD9"	3929100	6633100	5289600	5911900	533980	6511700	1	1	1	1	1	1	NA	NA
"Unmodified"	"P62826"	558500	84965000	57149000	0	159350000	172840000	3	2	1	3	1	2	NA	NA
"Unmodified"	"P54819"	14447000	13123000	4306700	0	4469700	0	1	1	1	NA	1	NA	NA	NA
"Unmodified"	"P49327"	82182000	37132000	26811000	76061000	104340000	109210000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P55884"	27166000	22724000	20643000	54661000	38395000	60517000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P46199"	0	0	0	0	4971000	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"O43815"	2601500	4742500	0	6197500	4607400	0	1	1	NA	1	1	NA	NA	NA
"Unmodified"	"P49327"	6155500	7951400	4222300	8435400	6000500	11097000	1	1	1	1	1	2	NA	NA
"Oxidation (M)"	"P12956"	9882300	59394000	1125800	12202000	11768000	8657100	4	3	2	4	2	4	NA	NA
"Unmodified"	"P50851"	1937900	0	2859300	0	0	0	1	NA	1	NA	NA	NA	NA	NA
"Unmodified"	"Q14C86"	2726700	0	3276300	5279700	3458600	5646200	1	NA	1	1	1	1	NA	NA
"Unmodified"	"P49903"	0	3208400	0	0	7878200	0	NA	1	NA	NA	1	1	NA	NA
"Oxidation (M)"	"P13667"	2566700	3147400	3207300	4991700	3364400	5962400	1	1	1	1	1	1	NA	NA
"Unmodified"	"P53990"	0	2509900	0	2057500	0	4600000	NA	2	NA	1	NA	2	NA	NA
"Unmodified"	"Q9BVL2"	5747100	7234400	2761900	0	6736500	9387200	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9P2N5"	3784200	6069900	3197300	10203000	4285500	5803400	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q86X76"	6535200	7790500	4834000	15604000	9534100	11273000	1	1	1	1	2	1	NA	NA
"Oxidation (M)"	"P16152"	0	4799400	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"O60306"	1330400	0	0	2065800	1183400	1648500	1	NA	NA	1	1	1	NA	NA
"Oxidation (M)"	"P17987"	7170100	8303700	5597300	11376000	5000200	12003000	2	2	2	2	2	2	NA	NA
"Oxidation (M)"	"Q96IU4"	0	0	0	0	5561100	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"P18621"	73947000	0	58375000	172560000	220780000	167760000	2	NA	2	2	2	2	NA	NA
"Unmodified"	"P46013"	6344000	7519600	0	13700000	11042000	11065000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P62280"	63584000	77137000	22117000	54975000	31304000	85355000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P61970"	18969000	24464000	21653000	42756000	0	38836000	1	2	1	1	NA	1	NA	NA
"Unmodified"	"Q5JRX3"	5843800	5012400	3184200	6758800	9547100	5711900	1	1	1	1	1	1	NA	NA
"Unmodified"	"P11388"	0	8739900	6751800	18952000	0	0	1	1	1	1	NA	NA	NA	NA
"Unmodified"	"P48059"	2509600	3222800	1209700	3792800	2903100	3614900	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q15181"	0	0	2313600	0	4914100	5962100	NA	NA	1	NA	1	1	NA	NA
"Unmodified"	"Q7L1Q6"	65384000	57291000	51095000	155100000	110780000	109730000	2	1	1	2	2	1	NA	NA
"Unmodified"	"P13645;CON__P13645"	1509000	1360500	0	0	22255000	6023500	1	1	NA	NA	2	1	"+"	NA
"Unmodified"	"Q6P2Q9"	13164000	16054000	10729000	33400000	52881000	33361000	1	1	1	1	1	2	NA	NA
"Unmodified"	"Q13505"	0	3352500	3382600	4349300	3558400	0	1	1	1	1	1	NA	NA	NA
"Unmodified"	"P78527"	11757000	13165000	11183000	9094500	13761000	20130000	2	1	2	1	2	1	NA	NA
"Unmodified"	"Q9Y5L0"	2869400	6875800	5316800	9456600	0	3208400	2	2	2	2	NA	1	NA	NA
"Unmodified"	"CON__Q0IIK2;CON__Q29443"	17308000	0	16704000	0	0	0	1	1	1	NA	1	1	"+"	NA
"Unmodified"	"Q8NI27"	0	0	0	3447700	0	2173800	NA	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q96CT7"	17635000	22889000	17233000	37914000	29163000	34061000	2	2	3	2	2	2	NA	NA
"Unmodified"	"P27708"	17036000	20221000	1622200	3621800	2532800	9140500	2	2	2	1	1	1	NA	NA
"Unmodified"	"Q9NQW7"	5862000	8626800	6435100	16752000	13139000	12230000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P35579"	21173000	32063000	23102000	47602000	82343000	47862000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q14008"	2813800	3481000	0	7234600	4595300	5795500	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9NZL4"	2205500	4360300	2704000	7260000	4530200	5953300	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q01082"	11555000	17319000	11140000	22792000	12737000	25518000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q08257"	3480900	1160300	1787800	7508500	1347100	7660300	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q6P2Q9"	1420900	0	0	0	0	2756100	1	NA	NA	NA	NA	1	NA	NA
"Unmodified"	"O75607"	18020000	17346000	0	42899000	25365000	29665000	2	2	NA	2	2	2	NA	NA
"Oxidation (M)"	"P00568"	0	0	0	0	5606700	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"P51659"	9732000	10749000	8424200	20235000	16553000	8291800	2	2	2	2	1	2	NA	NA
"Unmodified"	"P04899"	9266200	16863000	10716000	21992000	12686000	19938000	2	2	2	3	2	3	NA	NA
"Unmodified"	"Q9Y584"	2735800	4205500	3477900	8110100	5118600	8159600	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q96ST3"	374920	0	0	822250	959310	1216400	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"Q96P11;Q63ZY6"	1580300	2119100	1780400	3726300	3263500	3914800	1	1	1	1	1	1	NA	NA
"Unmodified"	"P48634"	1823100	0	1654600	3336100	4931900	4522900	1	NA	1	1	1	1	NA	NA
"Unmodified"	"Q8NFJ5"	26139000	33887000	22911000	38520000	57568000	34976000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q92878"	3848500	5429500	3658300	9344600	0	6878200	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q9BRX8"	5704000	0	5926100	946640	0	13074000	1	NA	1	2	1	1	NA	NA
"Unmodified"	"Q7L014"	2200700	4728100	3330500	6587800	4974400	7446400	1	2	1	1	1	1	NA	NA
"Unmodified"	"Q9Y3Z3"	0	4885100	1730000	0	14401000	4639800	1	2	1	1	2	2	NA	NA
"Unmodified"	"Q13509"	2050400	1752500	0	0	0	4044600	1	1	NA	NA	NA	1	NA	NA
"Unmodified"	"Q9BZZ5"	16023000	17447000	12679000	37919000	26506000	32479000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q9UHY1"	991220	1989200	0	2679600	0	0	1	1	1	1	NA	NA	NA	NA
"Unmodified"	"Q32MZ4"	0	0	1752500	4830200	0	6170600	NA	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q9UNX4"	2062400	0	2073100	3888800	0	4451400	1	NA	1	1	NA	1	NA	NA
"Oxidation (M)"	"P53621"	0	0	0	0	6093000	6222900	NA	NA	NA	NA	1	2	NA	NA
"Unmodified"	"O75340"	926190	1241000	1676600	4086400	5282000	4044500	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"Q07812"	1819600	0	1958900	4148100	1874900	3856000	1	NA	1	1	1	1	NA	NA
"Oxidation (M)"	"P20073"	0	4487400	3112200	0	0	0	NA	1	1	NA	NA	NA	NA	NA
"Unmodified"	"P0DPI2;A0A0B4J2D5"	10152000	13980000	9487800	24724000	15010000	18943000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q16637"	2089800	3425100	3941400	7430500	13877000	7299800	1	2	2	2	2	2	NA	NA
"Unmodified"	"Q16762"	0	0	0	0	0	0	NA	NA	1	NA	NA	NA	NA	NA
"Unmodified"	"O60763"	8564600	1249100	8655600	19073000	1874700	19669000	2	1	2	2	2	2	NA	NA
"Unmodified"	"P57772"	3707900	0	0	7446500	0	6726100	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"O15371"	2411100	2618400	2478300	4905200	6110300	5615600	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9H0W9"	16897000	16419000	21628000	40417000	38855000	36667000	2	1	1	2	1	2	NA	NA
"Unmodified"	"Q9NR30"	14751000	17609000	15336000	32273000	49546000	27364000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q96JB5"	4642000	4095800	4050700	8208700	7215100	9198000	1	1	1	1	1	2	NA	NA
"Unmodified"	"CON__Q2UVX4"	5180700	5731700	6693200	11652000	3529200	11200000	1	1	1	1	1	1	"+"	NA
"Unmodified"	"Q5BKT4;Q5I7T1"	2099900	2283900	0	5280900	4004400	3455200	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"Q9Y3I0"	1999600	0	0	4479100	2219200	3782800	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"P32929"	0	0	0	0	2043900	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"P51571"	43825000	35188000	29862000	71790000	85964000	59204000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q6YHK3"	9154200	7943500	7809200	24547000	12874000	21070000	2	1	2	1	1	2	NA	NA
"Unmodified"	"Q29RF7"	14363000	12477000	0	30279000	27847000	20147000	1	1	NA	1	1	1	NA	NA
"Unmodified"	"P19838"	0	2988500	0	0	0	0	NA	1	NA	NA	1	NA	NA	NA
"Unmodified"	"O94906"	6278700	8450100	7462700	14272000	9214700	16409000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q00341"	7141500	0	7285200	15455000	16790000	17769000	1	NA	1	1	1	1	NA	NA
"Unmodified"	"Q96PC5;A4FU28;Q86UF2;Q8IX94;P0CG41;A4D2H0;A0A2R8YE69"	2658600	0	0	3916200	0	4763800	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q9Y4E8"	4680200	6285100	5474900	8548200	6534400	8774400	1	2	2	2	1	2	NA	NA
"Unmodified"	"Q5JRX3"	2053200	3383300	0	3980100	2638100	2898900	1	1	NA	1	1	1	NA	NA
"Unmodified"	"Q9NXW2"	0	0	0	0	7076300	10407000	1	NA	NA	NA	1	1	NA	NA
"Unmodified"	"P21266;P28161;P46439"	30830000	33638000	24034000	66330000	42196000	59780000	1	1	1	1	2	1	NA	NA
"Unmodified"	"P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615"	6098000	2483700	0	0	0	0	1	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"O60341"	2632000	0	2617300	3919100	0	0	1	NA	1	1	NA	NA	NA	NA
"Unmodified"	"P05362"	0	3e+06	0	9732300	3902400	8703100	NA	1	NA	1	1	1	NA	NA
"Unmodified"	"Q9NXF7"	583580	0	663890	1468800	0	741560	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q99880;Q93079;Q99877;P62807;P58876;O60814;Q5QNW6;Q99879;P57053;Q96A08;A0A2R8Y619;P33778;Q16778;P23527;P06899;Q8N257"	0	2066800	1104300	1126500	1835200	1788300	NA	1	1	1	1	1	NA	NA
"Unmodified"	"P62280"	97133000	0	70034000	236830000	83395000	194380000	2	1	2	2	2	3	NA	NA
"Unmodified"	"Q92600"	2024100	2275700	0	4040700	0	3125600	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"P35232"	1665100	1752700	0	0	0	2609600	1	1	NA	NA	NA	1	NA	NA
"Unmodified"	"O00410"	1145300	6299000	2530300	8139400	3292000	6473900	1	2	2	2	1	2	NA	NA
"Unmodified"	"Q8IWA0"	3510800	3000900	3590600	6433400	9421200	7130500	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9H2P0"	1658700	2184800	679860	1029900	564980	1586100	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9NR56"	0	2900600	0	5178000	0	5629900	NA	1	NA	1	NA	1	NA	NA
"Unmodified"	"Q9Y394"	3886600	5084800	2922000	3823800	0	4406500	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q7Z6E9"	2117700	0	0	5390300	0	3389000	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"O95084"	6009400	4795900	4036100	9270800	0	9977700	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P27824"	75396000	90345000	77349000	162420000	262900000	180590000	2	2	2	3	1	1	NA	NA
"Unmodified"	"Q9UPY5"	3648200	3386000	0	4323100	3784300	5706900	1	1	NA	1	1	1	NA	NA
"Unmodified"	"O43172"	0	9648400	5339100	0	0	0	NA	1	1	1	NA	NA	NA	NA
"Unmodified"	"P30520"	16729000	20656000	13631000	41688000	59144000	34115000	2	2	2	2	2	2	NA	NA
"Unmodified"	"O75489"	0	15969000	0	0	2425300	0	NA	1	NA	NA	1	NA	NA	NA
"Unmodified"	"P52948"	1643900	2704300	1747300	5222900	2493900	3343600	1	1	1	1	1	1	NA	NA
"Unmodified"	"P18669"	236100000	296670000	253810000	534740000	370750000	521190000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P46940"	2841300	19409000	1868000	2149400	0	5015000	1	1	1	1	NA	2	NA	NA
"Unmodified"	"Q13155"	5750600	0	0	14789000	8212100	0	1	NA	NA	1	1	NA	NA	NA
"Unmodified"	"O14979"	18681000	21503000	1267200	43660000	2186700	36461000	1	1	1	2	1	2	NA	NA
"Unmodified"	"Q9NRK6"	1795100	13205000	2488400	4889900	4930900	4334400	1	1	1	1	1	1	NA	NA
"Unmodified"	"P20585"	1451000	0	0	2942500	2291400	2063400	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"P11387;Q969P6"	6878200	7548100	0	340540	0	1642700	2	2	NA	1	NA	2	NA	NA
"Acetyl (Protein N-term)"	"Q9Y2P8"	0	1745900	1099700	2851000	2401100	3947700	NA	1	1	2	1	1	NA	NA
"Unmodified"	"Q15785"	7780600	9076900	7421400	14042000	14207000	0	1	1	1	1	1	1	NA	NA
"Unmodified"	"CON__Q2UVX4"	58887000	58476000	45067000	122050000	64162000	99589000	2	1	2	2	1	2	"+"	NA
"Unmodified"	"Q8TAQ2;Q92922"	0	5308600	3706300	0	5348000	8541400	NA	1	1	NA	1	1	NA	NA
"Unmodified"	"Q03252"	0	0	4484300	0	0	0	NA	NA	1	1	NA	NA	NA	NA
"Unmodified"	"P48556"	40918000	26669000	29623000	77621000	44317000	73698000	2	1	2	2	2	2	NA	NA
"Unmodified"	"P43490"	19768000	23861000	21674000	50199000	35587000	37873000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q6ZRP7"	1836900	3004300	3894400	4375200	0	4279400	1	1	2	1	NA	1	NA	NA
"Unmodified"	"O96005"	0	796050	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Oxidation (M)"	"Q15397"	937670	863760	327250	893240	683020	1094200	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"Q9Y3C6"	5432700	0	1579600	4588700	3247300	6324800	1	NA	1	1	1	1	NA	NA
"Unmodified"	"P52272"	3394900	5681700	4026900	7400900	2198100	0	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q01082"	17803000	23482000	18863000	42253000	23472000	35548000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9UKM9"	28809000	1841300	23691000	0	0	0	1	1	1	NA	NA	NA	NA	NA
"Unmodified"	"Q5QJE6"	2603400	0	0	5700400	4691000	7006900	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"O95801"	0	0	0	0	2866100	0	NA	NA	1	NA	1	NA	NA	NA
"Unmodified"	"O00165"	2393200	0	0	6769500	3819000	6563500	1	1	NA	1	1	1	NA	NA
"Unmodified"	"Q15021"	0	3909900	0	0	8598800	6232500	NA	1	NA	NA	1	1	NA	NA
"Unmodified"	"Q9Y376"	0	2275400	0	5496100	0	2988100	NA	1	NA	1	1	1	NA	NA
"Unmodified"	"P54920;Q9H115"	1817700	0	0	3627400	0	3756800	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"O75533"	8757500	11446000	8239800	16921000	16400000	25116000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P15291"	6534400	9467000	5155800	14728000	25076000	16015000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q9UNS2"	6331200	5991100	7321800	16801000	4859500	14588000	2	1	2	2	1	2	NA	NA
"Unmodified"	"O00429"	0	0	0	5043600	2657700	2952800	NA	NA	NA	1	1	1	NA	NA
"Unmodified"	"O00571;O15523"	26585000	30726000	25027000	0	246790	0	1	1	1	NA	1	NA	NA	NA
"Unmodified"	"Q6P2Q9"	8164200	0	0	22518000	12301000	20712000	1	NA	NA	2	2	2	NA	NA
"Unmodified"	"CON__Q0IIK2;CON__Q29443"	5208300	0	5791000	7731400	10649000	11137000	2	NA	2	1	1	2	"+"	NA
"Unmodified"	"Q96SL1"	1469300	0	1759100	0	2011700	3232000	1	1	1	NA	1	1	NA	NA
"Unmodified"	"Q96A33"	7050600	10041000	6236300	17061000	7873400	15764000	1	1	1	1	1	1	NA	NA
"Unmodified"	"CON__Q2KJC7"	6286500	8648800	5571100	10029000	8126800	9979100	2	2	2	2	2	2	"+"	NA
"Oxidation (M)"	"P22314"	2481900	2786900	0	0	0	0	1	1	NA	NA	NA	NA	NA	NA
"2 Oxidation (M)"	"P00558"	2887200	0	0	6083300	6561800	10523000	1	NA	NA	1	2	3	NA	NA
"Oxidation (M)"	"P63244"	15972000	16442000	15047000	26833000	39738000	28589000	3	3	3	3	4	3	NA	NA
"Unmodified"	"Q09666"	0	6499700	0	10662000	4095100	10150000	NA	1	NA	1	1	1	NA	NA
"Unmodified"	"Q9NVP1"	3771300	4350700	1847100	0	3493100	6561600	1	1	1	NA	1	1	NA	NA
"Unmodified"	"P55786"	16019000	21692000	12184000	33498000	22173000	28363000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9NUG6"	2379900	3162400	1806500	7978800	3675500	4674800	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q8TED0"	2142900	0	0	5261400	0	4671100	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"O95400"	0	0	0	0	0	0	NA	NA	NA	NA	1	1	NA	NA
"Unmodified"	"Q14151;Q15424"	31652000	28621000	38373000	64738000	34462000	56688000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9HB90;Q9NQL2"	3290000	3705600	2775700	9266100	10603000	7743800	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"Q9BUP3"	958920	7488600	529380	1401200	1118800	0	1	1	1	1	1	NA	NA	NA
"Unmodified"	"O14672"	0	0	0	0	0	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"Q16891"	28727000	35666000	27220000	65108000	35883000	61171000	2	2	2	2	2	2	NA	NA
"Unmodified"	"P21980"	3151100	4680300	0	9235100	4849000	7274700	2	1	NA	2	3	2	NA	NA
"Unmodified"	"Q02750;P36507;A0A1B0GUL7"	0	3984600	0	0	6767800	10737000	NA	1	NA	NA	1	1	NA	NA
"Unmodified"	"P43243"	53036000	63633000	51316000	108700000	58864000	102840000	3	2	2	2	1	2	NA	NA
