"Experiment"	"Retention time"	"Total ion current"	"Reverse"
"HEK_210203"	25.064	7372200	NA
"III23_210201"	51.172	2853100	NA
"III23_18compl_210129"	62.793	2987600	NA
"HEK_201204"	77.686	1628900	NA
"HEK_210201"	30.808	2019600	"+"
"III23_210201"	140.91	13537	"+"
"III12_210129"	119.76	297280	NA
"III23_18compl_210129"	64.533	2625200	NA
"III23_210129"	114.49	289930	NA
"VIII27_210129"	72.38	4573100	"+"
"HEK_210203"	85.55	858520	"+"
"HEK_201204"	65.745	5259900	NA
"HEK_210203"	113.65	763860	"+"
"III23_210129"	98.347	1699900	NA
"III23_210129"	57.019	3216400	NA
"III23_210201"	71.356	29060000	NA
"VIII27_210129"	23.637	400870	NA
"III23_210129"	69.711	78722000	NA
"III23_210129"	124.34	4289000	NA
"III23_210129"	43.742	2878800	NA
"HEK_210201"	109.25	817350	NA
"VIII27_210129"	93.75	2557200	NA
"HEK_210203"	33.631	9324300	NA
"VIII27_210129"	115.24	2161800	NA
"III23_210129"	136.45	24275	NA
"III12_210129"	57.776	600790	NA
"III23_18compl_210129"	121.29	352890	NA
"III23_210201"	38.271	7603600	NA
"VIII27_210129"	69.658	960260	"+"
"VIII27_210129"	41.126	7304300	NA
"HEK_210201"	85.538	1527300	NA
"III23_18compl_210129"	76.818	4089700	"+"
"VIII27_210129"	125.33	544260	"+"
"HEK_201204"	74.56	5950700	NA
"III12_210129"	27.995	22870000	NA
"VIII27_210129"	35.641	6676300	"+"
"III23_210129"	116.52	2728000	NA
"III23_18compl_210129"	125.62	1854100	NA
"HEK_210203"	97.69	1056300	NA
"HEK_201204"	133.8	295240	NA
"HEK_210203"	38.982	14403000	NA
"III23_18compl_210129"	26.781	3399700	NA
"III23_210201"	93.777	31781000	NA
"VIII27_210129"	120.1	1434900	"+"
"III23_210129"	131.22	305760	NA
"HEK_210201"	41.329	2684700	NA
"HEK_210201"	92.112	1569800	NA
"III23_210129"	63.439	3139700	NA
"VIII27_210129"	98.746	1421000	NA
"III23_18compl_210129"	55.554	3591700	NA
"III23_210201"	15.836	21652	NA
"HEK_201204"	86.09	6637700	NA
"III23_210201"	119.57	3977600	NA
"HEK_210203"	75.273	1976000	NA
"III23_210201"	49.288	5154400	"+"
"VIII27_210129"	57.046	2430700	NA
"VIII27_210129"	42.642	7848000	NA
"HEK_210203"	53.49	13409000	NA
"III23_210201"	43.484	3389800	"+"
"HEK_210201"	81.088	2976600	"+"
"VIII27_210129"	34.968	3901300	NA
"HEK_201204"	97.706	1242300	"+"
