"Experiment"	"Retention time"	"Total ion current"	"Reverse"
"HEK_210203"	54.083	19487000	NA
"VIII27_210129"	53.358	2633400	NA
"III23_18compl_210129"	46.521	5235500	NA
"HEK_210201"	67.49	3374700	NA
"III23_210129"	18.429	215600	NA
"HEK_210201"	122.13	533160	NA
"HEK_210203"	23.519	1048300	NA
"III23_210201"	131.85	553260	NA
"HEK_210201"	22.162	1325700	NA
"III23_210129"	116.75	74092	NA
"III12_210129"	67.527	1929700	NA
"HEK_201204"	114.78	313220	NA
"HEK_210201"	125.37	1747000	NA
"III23_210129"	33.964	9766000	NA
"HEK_210201"	64.268	5513100	NA
"III23_210129"	41.887	4316200	"+"
"III23_210201"	106.6	563100	"+"
"HEK_210203"	27.748	1400700	NA
"III23_210129"	27.19	1227800	NA
"III23_210129"	92.545	2730200	NA
"III23_18compl_210129"	99.641	967020	NA
"III23_210201"	49.319	3014800	NA
"HEK_210203"	120.47	211780	"+"
"III23_210129"	31.008	18930000	"+"
"HEK_201204"	91.853	7105800	NA
"III23_18compl_210129"	54.898	5493500	NA
"III23_210201"	29.393	14500000	NA
"HEK_210203"	127.08	153670	"+"
"HEK_210203"	36.693	10436000	NA
"III23_18compl_210129"	16.487	919670	"+"
"III23_210201"	79.071	10639000	NA
"III12_210129"	31.269	425810	NA
"HEK_210203"	36.192	1934200	NA
"III23_18compl_210129"	83.707	3680100	NA
"HEK_210201"	118.92	235400	NA
"III23_210201"	99.549	1623000	NA
"HEK_201204"	23.107	1860400	NA
"III23_18compl_210129"	49.452	6353700	"+"
"HEK_201204"	47.054	13296000	NA
"III23_210129"	122.76	793510	NA
"HEK_201204"	80.036	3431500	NA
"VIII27_210129"	30.377	9956400	"+"
"HEK_201204"	132.93	3345000	"+"
"III23_210201"	103.01	1528500	NA
"III23_210201"	83.718	495000	"+"
"HEK_201204"	35.043	2453000	NA
"III12_210129"	127.15	398740	"+"
"HEK_210201"	56.734	3945000	NA
"HEK_210201"	46.742	2998900	"+"
"HEK_201204"	54.967	5902400	NA
"HEK_201204"	29.497	7761000	NA
"HEK_201204"	24.368	90755000	NA
"HEK_210201"	127.87	1324200	NA
"III12_210129"	24.155	285340	NA
"HEK_201204"	75.346	11207000	"+"
"III23_210129"	23.359	2319400	NA
"HEK_201204"	60.969	3557100	"+"
"III23_210201"	79.869	890030	NA
"HEK_201204"	122.24	5559800	"+"
"III23_18compl_210129"	55.245	7906500	NA
"HEK_210201"	27.881	6225200	NA
"HEK_210201"	46.872	18384000	NA
"HEK_201204"	64.409	28814000	NA
"III12_210129"	30.455	14082000	NA
"HEK_210201"	132.79	580630	"+"
"III12_210129"	97.584	1388700	NA
"HEK_210201"	25.685	3848300	NA
"HEK_210203"	54.817	5162200	NA
"HEK_201204"	120.69	1055300	"+"
"III23_18compl_210129"	116.82	269490	NA
"HEK_210203"	91.8	2445800	NA
"HEK_210201"	63.288	1267900	NA
"III23_18compl_210129"	77.532	706080	"+"
"III23_18compl_210129"	48.671	4079700	NA
"HEK_201204"	128.41	1615400	NA
"HEK_201204"	87.817	2508900	NA
"III23_210201"	22.478	2862400	NA
"HEK_210203"	98.314	1536400	NA
"III23_210201"	63.365	10723000	NA
"III23_210201"	92.679	3383400	NA
"III23_18compl_210129"	127.15	129960	NA
"HEK_201204"	84.402	4743600	"+"
"HEK_201204"	66.678	2890200	NA
"III12_210129"	123.32	700710	NA
"III23_210201"	111	934730	"+"
"III23_210201"	21.964	4200400	NA
"III23_18compl_210129"	21.984	852010	NA
"HEK_201204"	113.5	1190100	NA
"VIII27_210129"	81.556	7518600	NA
"HEK_210201"	83.328	4748600	NA
"VIII27_210129"	86.146	5658400	NA
"HEK_210201"	131.79	242940	"+"
"III23_18compl_210129"	45.236	3890500	NA
"HEK_201204"	55.465	4049200	NA
"HEK_210201"	133.57	202630	"+"
"III23_210201"	128.5	183080	NA
"III12_210129"	34.573	4255400	NA
"III23_210201"	54.398	3402700	"+"
"III12_210129"	87.565	536910	"+"
"III23_210201"	124.93	493590	NA
"III23_18compl_210129"	25.655	228000	NA
"HEK_210201"	24.737	2927500	NA
"HEK_201204"	48.015	12522000	"+"
"HEK_210203"	34.186	15372000	NA
"HEK_201204"	36.033	2531700	NA
"HEK_210201"	31.078	7314600	NA
"III23_18compl_210129"	111.52	8107800	NA
"VIII27_210129"	33.424	5552900	NA
"III23_18compl_210129"	133.72	240540	"+"
"III23_210201"	92.462	1436700	NA
"III12_210129"	13.02	374660	NA
"HEK_201204"	88.033	1448600	NA
"III23_18compl_210129"	57.417	4137500	NA
"III23_210201"	39.222	9865300	"+"
"HEK_210203"	96.074	1217900	NA
"HEK_201204"	96.995	3094100	NA
"HEK_210201"	127.29	2691200	NA
"HEK_201204"	109.99	5075300	NA
"III23_18compl_210129"	24.381	20792000	"+"
"HEK_210203"	25.627	1351700	"+"
"III23_210129"	133.96	2371500	NA
"HEK_210201"	134.88	140950	"+"
"III23_18compl_210129"	55.066	6163400	NA
"III23_18compl_210129"	70.778	3578100	NA
"III23_210129"	24.005	7691400	NA
"HEK_201204"	76.233	4561200	"+"
"III23_210129"	42.636	4133300	NA
"III23_18compl_210129"	28.981	4306700	NA
"III23_210129"	47.854	3099000	NA
"VIII27_210129"	52.491	4609700	NA
"III23_210129"	73.367	1110400	NA
"HEK_210203"	61.579	5488100	NA
"HEK_210203"	94.077	7957900	NA
"HEK_201204"	76.798	2133400	"+"
"III12_210129"	75.128	18161000	"+"
"HEK_210201"	63.912	643550	NA
"HEK_210203"	91.609	234960	"+"
"VIII27_210129"	41.44	5574900	NA
"III12_210129"	68.485	929920	"+"
"III23_210129"	103.49	6952400	NA
"HEK_201204"	101.3	4044300	NA
"VIII27_210129"	131.78	73846	NA
"III23_18compl_210129"	27.646	4183000	NA
"III23_210201"	129.19	298210	NA
"III23_210129"	108.21	1121600	"+"
"III23_210129"	117.24	710270	"+"
"HEK_210203"	131.98	467370	NA
"HEK_201204"	84.128	9532100	NA
"III23_210201"	48.771	7798000	NA
"III23_18compl_210129"	131.1	107170	NA
"III23_210201"	130.03	669000	"+"
"VIII27_210129"	25.576	1665900	NA
"III12_210129"	138.3	186830	"+"
"III12_210129"	18.364	275370	"+"
"III12_210129"	19.663	798460	"+"
"HEK_210203"	51.052	10119000	NA
"III23_18compl_210129"	2.1749	80350	"+"
"HEK_201204"	88.995	3695700	"+"
"III23_18compl_210129"	128.85	902090	NA
"HEK_210203"	93.906	2204000	NA
"HEK_210203"	114.92	758860	"+"
"HEK_210203"	127.5	125000	"+"
"III23_210129"	107.96	8474300	NA
"III23_18compl_210129"	130.83	52274	"+"
"III23_210129"	72.22	1050300	NA
"HEK_201204"	72.362	4155700	NA
"HEK_210203"	119.31	584780	"+"
"VIII27_210129"	90.755	4547200	NA
"III23_210201"	93.315	3028400	NA
"III23_210201"	102.36	2434700	"+"
"III23_210201"	30.707	5555200	NA
"III23_210201"	29.076	13620000	NA
"VIII27_210129"	65.614	72324000	NA
"HEK_210203"	92.659	2116400	NA
"HEK_201204"	107.76	5281400	NA
"HEK_210201"	94.527	7204700	NA
"III12_210129"	18.937	944840	"+"
"HEK_210203"	71.878	5737200	"+"
"III12_210129"	45.012	6884200	"+"
"III23_210129"	85.631	8938200	"+"
"III23_18compl_210129"	114.13	1059500	NA
"HEK_210201"	22.45	668680	NA
"III23_18compl_210129"	105.82	676800	NA
"III23_210201"	67.762	5294700	NA
"III23_210201"	89.053	4835200	NA
"HEK_201204"	103.46	992430	NA
"VIII27_210129"	54.138	4411500	NA
"HEK_210201"	120.37	1940500	NA
"III23_18compl_210129"	68.66	6171600	NA
"III23_18compl_210129"	131.76	176940	NA
"III23_210129"	60.836	31768000	NA
"HEK_210203"	50.724	1288100	NA
"III23_18compl_210129"	37.478	1873400	NA
"HEK_210203"	46.984	5434000	NA
"HEK_210203"	118.14	571020	NA
"HEK_210203"	116	627600	NA
"III23_210201"	117.23	1495500	NA
"VIII27_210129"	86.015	17331000	NA
"III23_210129"	24.979	792980	NA
"VIII27_210129"	90.023	4071700	NA
"III23_210201"	19.285	1099100	NA
"III23_210129"	53.6	6012500	"+"
"III23_18compl_210129"	32.978	7495800	NA
"III23_18compl_210129"	74.336	1871900	"+"
"III23_210201"	41.039	5649200	NA
"III23_210201"	103.26	3328000	NA
"HEK_210201"	66.003	19046000	"+"
"VIII27_210129"	105.46	482950	NA
"VIII27_210129"	40.366	6473600	"+"
"HEK_201204"	27.962	7004500	NA
"HEK_201204"	55.816	1389800	NA
"HEK_210203"	91.345	3535000	NA
"HEK_201204"	105.92	4466400	NA
"III23_210201"	146.22	108360	NA
"HEK_201204"	38.138	14525000	NA
"VIII27_210129"	54.06	1811100	NA
"III12_210129"	74.686	853130	"+"
"HEK_210201"	131.97	783240	NA
"HEK_210201"	48.463	3039700	NA
"HEK_201204"	126.67	600170	NA
"VIII27_210129"	133.22	1957600	NA
"III23_210129"	47.081	13018000	NA
"III23_210201"	46.324	22484000	NA
"HEK_210201"	64.679	1832400	NA
"III12_210129"	125.95	819250	NA
"III12_210129"	65.435	10023000	NA
"III23_210201"	54.424	2449400	NA
"III23_210129"	46.182	6926100	NA
"III23_210201"	143.04	17111	NA
"III23_18compl_210129"	66.478	22207000	"+"
"III23_210129"	33.581	43731000	NA
"HEK_210201"	53.04	8825300	NA
"III23_18compl_210129"	91.574	1015200	"+"
"VIII27_210129"	95.779	932830	NA
"III23_210201"	68.909	2720800	NA
"HEK_210203"	31.218	716740	NA
"HEK_201204"	114	76238	NA
"HEK_201204"	78.358	7128300	NA
"III12_210129"	130.4	111670	NA
"III23_210201"	62.463	10186000	NA
"III23_18compl_210129"	119.61	685380	NA
"III23_210129"	65.576	3083700	"+"
"III23_210201"	65.03	13098000	NA
"III23_210129"	100.57	8947100	"+"
"HEK_201204"	129.09	125090	"+"
"III23_210201"	102.58	9245100	NA
"VIII27_210129"	27.956	21336000	"+"
"III23_210201"	44.821	9328000	NA
"HEK_210201"	94.064	3582700	NA
"III23_210201"	116.74	674800	NA
"VIII27_210129"	95.829	1639900	NA
"III23_210201"	62.137	3591900	NA
"III23_210129"	56.528	6650900	NA
"III23_210129"	136.44	59091	NA
"HEK_210203"	102.15	9863600	NA
"HEK_210203"	64.227	1732100	"+"
"III23_18compl_210129"	86.526	2016200	NA
"III23_210201"	88.99	4842900	NA
"VIII27_210129"	119.99	147970	NA
"HEK_201204"	49.872	185820000	NA
"III23_18compl_210129"	49.271	7261400	NA
"III23_210129"	31.592	10222000	NA
"III23_210201"	88.233	8142600	NA
"III12_210129"	126.77	47800	NA
"HEK_201204"	36.821	5456900	"+"
"III23_210201"	49.427	9132900	NA
"III23_210129"	113.98	490110	"+"
"III23_18compl_210129"	38.919	5562000	NA
"VIII27_210129"	85.199	1647000	NA
"III23_18compl_210129"	70.571	53550000	NA
"III23_210201"	61.285	11731000	NA
"III12_210129"	30.133	4578600	NA
"HEK_210201"	67.296	42139000	NA
"HEK_210203"	56.074	3556800	NA
"III12_210129"	56.51	5438800	NA
"HEK_210201"	91.304	2897700	NA
"III23_210129"	130.67	210830	NA
"III23_18compl_210129"	94.625	58525000	NA
"HEK_201204"	111.64	443750	NA
"HEK_210203"	102.53	904990	NA
"III12_210129"	110.03	2452000	"+"
"HEK_201204"	61.174	4632400	"+"
"HEK_201204"	84.337	14395000	NA
"HEK_210201"	106.08	12086000	NA
"III23_210201"	112.81	1211300	NA
"III23_18compl_210129"	94.928	1598600	NA
"III23_210129"	89.22	24650000	NA
"III23_210129"	24.491	995200	"+"
"III23_210201"	25.885	2671700	"+"
"HEK_210201"	42.963	4222400	"+"
"HEK_210201"	105.22	1668300	"+"
"III12_210129"	97.623	2581900	NA
"VIII27_210129"	102.59	2587000	NA
"HEK_201204"	104.9	434630	NA
"HEK_201204"	75.433	3691500	NA
"HEK_210203"	49.46	24868000	NA
"VIII27_210129"	60.951	27653000	"+"
"III23_210201"	17.924	188240	"+"
"III12_210129"	111.03	4825400	NA
"HEK_210203"	55.294	5083900	NA
"HEK_210203"	119.23	5390100	NA
"III23_210129"	62.26	4360700	NA
"III23_210129"	71.255	3350200	"+"
"III23_210201"	71.146	7112400	"+"
"HEK_210201"	96.965	10538000	"+"
"HEK_201204"	136.33	48734	NA
"HEK_201204"	87.365	6796700	NA
"HEK_201204"	64.374	6234700	NA
"VIII27_210129"	56.998	2602800	NA
"VIII27_210129"	134.58	52996	"+"
"HEK_201204"	70.368	5309700	NA
"HEK_201204"	117.33	340630	NA
"III23_18compl_210129"	71.076	8238700	NA
"HEK_201204"	20.99	687460	NA
"III23_18compl_210129"	79.558	2819100	NA
"III23_210201"	82.89	5528200	NA
"III23_18compl_210129"	77.722	2764500	NA
"III23_210129"	95.894	4196300	NA
"III12_210129"	99.419	3566900	"+"
"III23_18compl_210129"	78.431	5485900	NA
"HEK_210201"	87.388	729390	NA
"VIII27_210129"	123.8	67990	"+"
"HEK_210201"	54.243	3591900	NA
"III23_210201"	97.553	2229700	NA
"III12_210129"	29.855	2767500	NA
"III23_210201"	30.354	8607700	"+"
"HEK_210203"	109.9	7852700	NA
"VIII27_210129"	93.64	13062000	NA
"III23_210201"	46.799	9930300	"+"
"VIII27_210129"	31.434	536980	NA
"HEK_210203"	21.25	236220	"+"
"III23_210129"	3.4766	99149	NA
"HEK_210203"	71.948	13827000	NA
"HEK_201204"	71.232	1255700	"+"
"HEK_210201"	39.644	14563000	NA
"HEK_210201"	21.123	7068300	NA
"III23_210129"	103.8	1616000	NA
"HEK_210201"	107.38	1893400	NA
"III12_210129"	106.62	84344000	NA
"HEK_210203"	94.739	3565600	NA
"HEK_210201"	104.55	345910	NA
"III23_210201"	73.35	7408800	NA
"III23_210201"	109.26	294610	NA
"VIII27_210129"	53.164	8051700	NA
"HEK_201204"	62.236	2898200	NA
"III23_210129"	32.016	13209000	"+"
"III23_210201"	86.383	4129300	NA
"HEK_210203"	50.028	1915500	NA
"HEK_210201"	78.332	1836700	"+"
"III23_18compl_210129"	67.362	2392000	NA
"HEK_210203"	85.142	1323700	NA
"III23_210129"	110.6	804420	NA
"HEK_210203"	43.51	3991300	NA
"III23_210129"	44.976	3798500	"+"
"HEK_210203"	94.194	584460	NA
"III12_210129"	102.93	978890	NA
"HEK_210203"	67.506	1648400	"+"
"HEK_210201"	16.852	1658700	NA
"III12_210129"	19.008	535640	NA
"III23_210201"	56.897	30614000	NA
"HEK_210201"	32.474	1422300	NA
"III23_210201"	60.312	2649800	NA
"VIII27_210129"	99.31	655890	"+"
"HEK_201204"	83.155	55169000	NA
"HEK_210203"	113.62	4068000	NA
"HEK_210203"	48.179	4320100	NA
"HEK_210203"	34.66	3371700	NA
"III12_210129"	23.211	690710	NA
"III12_210129"	90.331	2050500	NA
"VIII27_210129"	84.55	10032000	NA
"III23_210129"	122.92	1393800	"+"
"III23_18compl_210129"	96.803	2856400	NA
"III23_18compl_210129"	35.271	1966200	NA
"VIII27_210129"	20.122	433850	"+"
"HEK_210203"	29.359	8765000	NA
"HEK_210203"	22.092	2479000	NA
"III12_210129"	113.08	839110	NA
"III23_210129"	95.328	175370	NA
"III12_210129"	43.019	5237200	NA
"HEK_210201"	85.679	3220700	NA
"HEK_210201"	127.52	917640	NA
"HEK_210201"	36.45	10308000	NA
"HEK_201204"	99.128	1640500	NA
"III23_210129"	118.03	191450	NA
"III23_210201"	106.51	1459800	NA
"III12_210129"	94.409	118520	NA
"HEK_210201"	27.401	2109400	NA
"HEK_210201"	28.768	3068600	"+"
"VIII27_210129"	40.203	3869600	NA
"III23_210201"	74.636	1539100	NA
"HEK_210203"	43.245	4914000	NA
"VIII27_210129"	21.298	7473700	NA
"III12_210129"	42.061	9518000	NA
"III23_18compl_210129"	93.204	5253500	NA
"HEK_210201"	141.03	21821000	"+"
"III23_210129"	113.66	872150	"+"
"III12_210129"	68.814	7206300	NA
"HEK_210201"	21.109	4930200	NA
"III23_210201"	125.23	1214400	NA
"HEK_210203"	122.55	136930	NA
"VIII27_210129"	47.684	3889900	NA
"III23_210201"	46.357	4827000	NA
"III23_18compl_210129"	97.078	581850	"+"
"VIII27_210129"	86.207	985330	NA
"III12_210129"	54.258	10995000	"+"
"III23_18compl_210129"	87.098	341860	NA
"HEK_210201"	62.251	6034500	NA
"III23_210129"	71.143	6526800	NA
"III23_18compl_210129"	89.522	1773700	NA
"VIII27_210129"	20.444	843730	"+"
"III23_18compl_210129"	111.13	1640200	NA
"VIII27_210129"	78.419	2909800	NA
"HEK_210203"	89.68	11599000	NA
"III23_210129"	19.764	351450	NA
"III23_210129"	26.249	3901600	"+"
"III23_210201"	61.047	12314000	NA
"HEK_210201"	34.472	7554800	NA
"III23_210201"	42.233	349380000	NA
"HEK_201204"	78.068	1279300	"+"
"HEK_210201"	137.99	14151	NA
"HEK_210203"	38.349	4688200	NA
"III12_210129"	101.96	7927300	"+"
"III23_210129"	106.44	2508100	NA
"III23_210129"	29.884	778070	"+"
"HEK_201204"	55.836	2756100	NA
"III23_18compl_210129"	60.557	4210300	"+"
"III23_18compl_210129"	58.338	10016000	NA
"III23_210201"	63.625	6117400	NA
"III12_210129"	14.745	32019	"+"
"III23_210201"	97.351	1285300	NA
"HEK_210201"	112.36	2925900	NA
"HEK_210201"	21.236	5627800	"+"
"HEK_210201"	109.86	426760	NA
"HEK_210201"	89.094	3177400	NA
"HEK_201204"	111.96	8062600	NA
"III23_18compl_210129"	85.081	5321700	NA
"HEK_201204"	21.907	2676600	NA
"III12_210129"	52.817	5096800	"+"
"HEK_210203"	87.895	1484100	NA
"III23_18compl_210129"	70.722	4860000	NA
"HEK_201204"	61.876	5302000	NA
"III12_210129"	54.023	2856000	NA
"III23_210129"	26.1	456310	NA
"III23_210201"	74.156	2412300	NA
"III12_210129"	62.857	6841600	NA
"HEK_210203"	116.46	508570	"+"
"III23_210129"	77.703	42157000	NA
"HEK_201204"	118.47	744970	NA
"III12_210129"	42.864	674690	NA
"HEK_201204"	47.887	6533800	NA
"HEK_201204"	68.894	6357000	NA
"III23_18compl_210129"	83.382	1113200	NA
"III23_18compl_210129"	48.48	4340800	"+"
"III23_18compl_210129"	128.64	3873700	NA
"HEK_201204"	104.86	2109200	"+"
"III23_210201"	33.57	14121000	NA
"HEK_210201"	99.845	1054700	NA
"III12_210129"	90.153	1980500	NA
"HEK_201204"	92.214	24223000	NA
"VIII27_210129"	96.241	919550	"+"
"III23_18compl_210129"	131.84	1061600	NA
"VIII27_210129"	129.55	419810	NA
"HEK_210201"	103.36	819230	NA
"HEK_201204"	115.93	840860	NA
"HEK_201204"	112.38	11218000	"+"
"III23_210201"	124.31	239120	NA
"HEK_210203"	118.51	83280	NA
"III23_210129"	35.65	14932000	NA
"HEK_201204"	115.54	97751	"+"
"VIII27_210129"	125.17	767300	NA
"HEK_210201"	85.923	919200	NA
"III23_18compl_210129"	61.461	3458000	NA
"VIII27_210129"	33.477	12313000	NA
"HEK_201204"	49.73	7038900	NA
"HEK_210201"	88.586	37374000	NA
"VIII27_210129"	128.95	294190	NA
"HEK_210203"	109.72	1916400	NA
"HEK_210201"	120.27	516480	NA
"III23_18compl_210129"	107.72	1892200	"+"
"III12_210129"	63.994	28128000	NA
"III23_210201"	54.434	10031000	NA
"VIII27_210129"	125.65	1131300	NA
"HEK_201204"	27.47	17710000	NA
"III12_210129"	100.19	10718000	NA
"III23_18compl_210129"	122.57	559990	NA
"III23_210201"	117.1	556390	NA
"III23_18compl_210129"	44.675	3980100	NA
"III23_18compl_210129"	65.417	4692200	NA
"III12_210129"	125.5	416180	NA
"HEK_210203"	90.214	13454000	"+"
"III23_210129"	83.625	3651300	NA
"III23_210129"	31.009	6559500	NA
"III23_210201"	19.694	1144600	NA
"III23_210201"	28.442	9163800	"+"
"III12_210129"	54.132	884870	"+"
"HEK_210203"	122.43	121090	NA
"HEK_210203"	56.412	9033600	NA
"HEK_201204"	124.76	498630	"+"
"III23_210129"	53.37	3820500	NA
"III23_210129"	42.664	9270000	NA
"III23_210201"	84.952	16678000	NA
"III23_210129"	69.067	1115100	NA
"HEK_201204"	35.339	15177000	NA
"III23_18compl_210129"	68.404	6348600	NA
"III23_18compl_210129"	63.169	8531300	"+"
"VIII27_210129"	81.283	1313500	NA
"HEK_210201"	105.77	926550	NA
"III23_210201"	5.8403	213400	NA
"III23_210129"	76.397	3369100	NA
"HEK_210203"	58.53	597900	NA
"III23_210129"	31.625	1011900	NA
"III12_210129"	129.47	766240	NA
"HEK_210203"	77.766	6291600	NA
"HEK_210201"	24.508	1985600	NA
"VIII27_210129"	77.417	7717000	"+"
"III23_210129"	19.205	1247700	NA
"III12_210129"	134.89	62739	NA
"HEK_210203"	44.785	13617000	NA
"III12_210129"	63.729	33964000	NA
"HEK_201204"	71.774	4441900	NA
"HEK_210201"	95.683	2476800	NA
"III23_18compl_210129"	62.683	2489200	NA
"HEK_210201"	107.53	2785500	NA
"HEK_201204"	57.469	5112500	"+"
"III23_18compl_210129"	53.288	2711600	"+"
"III23_210201"	43.716	4438900	NA
"III23_210201"	96.759	2844000	"+"
"HEK_210203"	60.793	8313000	NA
"III23_210129"	115.14	2524100	"+"
"HEK_210201"	25.558	2716200	"+"
"III23_210129"	82.865	3131000	NA
"HEK_210201"	17.78	67313	NA
"III23_18compl_210129"	114.9	10746000	NA
"HEK_210203"	59.937	2932200	NA
"HEK_210203"	85.141	13024000	NA
"HEK_210201"	123.37	8836900	NA
"HEK_201204"	39.81	6455900	NA
"HEK_210201"	50.661	3342500	"+"
"III23_18compl_210129"	65.918	236420	"+"
"III23_18compl_210129"	19.449	1489700	"+"
"HEK_210201"	28.468	8460600	NA
"III12_210129"	50.312	1954500	NA
"III23_210201"	86.901	29436000	NA
"VIII27_210129"	97.874	3667800	NA
"VIII27_210129"	84.703	9248200	NA
"III23_210129"	117.66	164130	NA
"VIII27_210129"	99.335	18475000	NA
"III23_18compl_210129"	115.84	2364400	NA
"III12_210129"	34.817	7182900	NA
"III23_18compl_210129"	98.389	17253000	NA
"VIII27_210129"	87.446	1502600	NA
"III23_18compl_210129"	59.966	2394400	NA
"HEK_210201"	69.249	18957000	NA
"HEK_201204"	126.38	299410	"+"
"VIII27_210129"	66.468	3934800	NA
"III23_210201"	132.86	2393400	"+"
"III23_18compl_210129"	123.79	2317000	NA
"III23_18compl_210129"	43.097	9753100	NA
"VIII27_210129"	18.313	352500	"+"
"VIII27_210129"	36.346	104070000	NA
"III23_210129"	53.999	5821800	NA
"III23_210201"	79.303	10568000	NA
"HEK_210201"	126.44	45080	"+"
"HEK_210203"	84.023	2031500	NA
"III12_210129"	43.299	5735000	"+"
"III23_18compl_210129"	20.633	11674000	NA
"III23_210129"	85.667	1519200	NA
"III23_210129"	19.37	1551000	"+"
"III23_210201"	73.266	2310000	NA
"HEK_210203"	16.324	5340800	NA
"III23_210129"	31.567	1999000	NA
"III23_210201"	71.101	1850900	NA
"III23_210129"	125.77	1552000	"+"
"VIII27_210129"	126.81	387760	"+"
"VIII27_210129"	25.925	2436800	NA
"HEK_201204"	45.947	31107000	NA
"III23_18compl_210129"	30.984	71181	NA
"III23_18compl_210129"	64.094	8855600	"+"
"VIII27_210129"	15.171	28142	NA
"HEK_210203"	98.557	9235600	NA
"III12_210129"	81.114	7031100	NA
"HEK_210203"	90.45	1741300	NA
"HEK_210201"	96.525	4842500	NA
"HEK_201204"	36.342	4542200	"+"
"VIII27_210129"	75.458	8704400	"+"
"III12_210129"	25.103	2866300	"+"
"VIII27_210129"	20.91	1051400	NA
"III23_18compl_210129"	77.166	6743100	NA
"HEK_201204"	23.848	344570	"+"
"III12_210129"	37.915	5880700	NA
"HEK_210201"	102.48	3552700	NA
"HEK_201204"	56.248	5592900	NA
"HEK_201204"	138.31	25817	NA
"HEK_210201"	89.782	3883700	NA
"HEK_210203"	73.027	2700900	"+"
"III12_210129"	132.65	5543900	NA
"HEK_210201"	28.061	3957400	NA
"HEK_201204"	88.447	8172500	NA
"III12_210129"	67.698	38287000	NA
"HEK_210203"	29.295	2026500	NA
"HEK_210201"	3.9486	21402	NA
"HEK_201204"	30.691	14043000	NA
"HEK_210201"	51.949	2813500	NA
"HEK_210203"	91.818	2593200	NA
"III12_210129"	66.187	12454000	NA
"VIII27_210129"	74.286	4609900	NA
"VIII27_210129"	91.006	2826600	NA
"VIII27_210129"	60.277	15743000	NA
"HEK_201204"	17.357	1244400	"+"
"III23_210201"	82.754	682640	NA
"III23_210201"	78.47	6183300	NA
"III12_210129"	16.09	2548100	"+"
"VIII27_210129"	69.629	10887000	"+"
"HEK_210203"	77.936	5158800	NA
"III23_210201"	27.395	1628300	NA
"HEK_210201"	127.98	110130	"+"
"HEK_210201"	125.27	619490	NA
"III23_18compl_210129"	111.27	433500	"+"
"III23_210129"	31.958	4099400	NA
"HEK_210201"	90.568	3593800	NA
"VIII27_210129"	72.871	2856400	NA
"III23_210129"	68.248	3445800	"+"
"III23_18compl_210129"	20.463	482970	"+"
"HEK_210203"	115.43	12690000	NA
"III12_210129"	113.73	99615	NA
"III23_210129"	78.919	11286000	NA
"HEK_210201"	35.596	989980	NA
"III12_210129"	24.693	3609400	NA
"III23_210201"	128.26	785940	NA
"III12_210129"	53.333	2484400	NA
"III23_210201"	135.14	113890	NA
"III12_210129"	79.515	1349600	NA
"III23_18compl_210129"	62.996	11668000	"+"
"HEK_210201"	94.264	2340700	"+"
"III12_210129"	32.863	704740	NA
"HEK_210203"	19.307	1110700	NA
"VIII27_210129"	64.056	44979000	NA
"HEK_201204"	55.839	8194300	NA
"HEK_210203"	23.12	1092400	NA
"III12_210129"	52.812	1481200	"+"
"III23_210129"	66.094	10194000	NA
"III12_210129"	6.1321	28702	"+"
"HEK_210203"	127.86	6285500	NA
"III12_210129"	116.44	686330	NA
"III23_210129"	124.6	877260	"+"
"HEK_201204"	66.923	3213500	NA
"HEK_201204"	50.608	5768200	NA
"III23_210201"	37.297	4833000	NA
"III23_210129"	74.016	2477600	"+"
"VIII27_210129"	15.406	268260	NA
"HEK_201204"	125.69	505170	NA
"III23_18compl_210129"	39.526	2531400	NA
"HEK_210201"	27.765	13012000	"+"
"HEK_201204"	81.198	2852500	NA
"HEK_201204"	21.013	180510	NA
"HEK_201204"	18.92	1210700	NA
"VIII27_210129"	95.383	525790	NA
"III23_18compl_210129"	133.84	134460	"+"
"III23_210201"	132.75	4760000	NA
"VIII27_210129"	63.003	612280	NA
"III23_210201"	46.792	33441000	NA
"HEK_210201"	1.6517	34663	NA
"III23_210129"	111.58	1698700	NA
"III23_210129"	114.14	3069500	"+"
"III23_18compl_210129"	40.348	7473800	NA
"HEK_201204"	129.58	177950	NA
"III12_210129"	62.201	2472400	"+"
"HEK_210201"	78.985	1119300	"+"
"III12_210129"	36.56	20906000	NA
"III23_18compl_210129"	131.67	1276400	NA
"HEK_210203"	34.293	113920000	"+"
"HEK_210201"	53.759	3119000	NA
"III23_18compl_210129"	39.856	3074100	NA
"III23_210201"	110.86	461430	NA
"III12_210129"	62.463	3935900	NA
"VIII27_210129"	102.83	1395300	NA
"HEK_210201"	28.555	5210900	NA
"III23_18compl_210129"	22.431	1311700	"+"
"HEK_210201"	82.323	353840	NA
"III23_210129"	24.159	2378100	NA
"III23_18compl_210129"	73.904	15888000	NA
"HEK_201204"	42.771	7606600	NA
"HEK_210201"	64.456	4470900	NA
"HEK_210201"	54.745	2706600	NA
"III23_18compl_210129"	118.12	1057400	NA
"HEK_210201"	33.112	4305300	NA
"HEK_210203"	43.714	13221000	NA
"III23_18compl_210129"	101.49	1297100	NA
"III23_210201"	101.12	1369200	"+"
"III23_18compl_210129"	61.105	2686600	"+"
"VIII27_210129"	109.71	638330	NA
"HEK_210201"	119.46	1411000	NA
"HEK_210201"	103.45	1906600	NA
