"Experiment"	"Retention time"	"Cycle time"	"MS/MS count"
"III23_18compl_210129"	140.93	0.31952	0
"III23_18compl_210129"	4.5395	0.32487	0
"HEK_201204"	9.1973	0.4244	2
"III23_210201"	5.057	0.32393	0
"III12_210129"	74.725	2.0366	36
"III23_210201"	77.397	1.989	36
"III23_210129"	8.2043	0.32501	0
"HEK_201204"	140.64	0.41931	2
"III23_18compl_210129"	13.768	0.32061	0
"HEK_210201"	144.78	0.42847	2
"III23_210129"	142.55	0.33051	0
"HEK_201204"	59.232	2.0272	36
"III23_18compl_210129"	144.17	0.43304	2
"III23_18compl_210129"	28.092	6.1147	107
"III12_210129"	149.92	0.3241	0
"HEK_210201"	13.435	0.54428	4
"HEK_210203"	145.34	0.37354	1
"HEK_210201"	0.76492	0.36792	1
"III23_210129"	77.265	2.0297	36
"III23_210129"	121.94	6.7882	104
"HEK_210203"	29.34	2.0199	38
"HEK_210201"	13.167	0.31895	0
"HEK_210203"	144.12	0.33417	0
"III23_210201"	3.8903	0.32358	0
"III23_210129"	143.2	0.33325	0
"HEK_210203"	71.816	2.1107	38
"VIII27_210129"	10.579	0.32839	0
"VIII27_210129"	83.017	2.1249	38
"HEK_210203"	8.522	0.32639	0
"III12_210129"	21.022	6.3631	113
"HEK_210201"	144.62	0.33234	0
"III23_18compl_210129"	71	2.1007	38
"VIII27_210129"	137.98	0.32227	0
"III23_210129"	143.58	0.43213	2
"III12_210129"	9.6669	0.42549	2
"HEK_210203"	117.41	6.6577	101
"VIII27_210129"	3.1021	0.32425	0
"III23_210201"	11.403	0.32164	0
"III23_210201"	124.64	6.6458	103
"VIII27_210129"	143.16	0.33234	0
"VIII27_210129"	53.073	1.9352	36
"HEK_201204"	138.92	0.36438	1
"HEK_201204"	5.0384	0.32344	0
"III12_210129"	143.69	0.33325	0
"III23_18compl_210129"	149.51	0.3241	0
"HEK_210201"	0.18307	0.42251	2
"HEK_210203"	85.312	1.9803	36
"III23_210201"	8.4044	0.32593	0
"HEK_210201"	70.202	1.9272	36
"III12_210129"	144.29	0.36804	1
"HEK_210201"	147.33	0.32501	0
"III23_210129"	3.1695	0.32407	0
"III12_210129"	8.3023	0.32461	0
"HEK_210201"	144.69	0.48981	3
"III23_18compl_210129"	146.05	0.32684	0
"HEK_210201"	4.4997	0.3239	0
"HEK_210203"	94.137	7.0477	115
"III23_18compl_210129"	13.664	0.3578	1
"HEK_210201"	10.512	0.37319	1
"III23_18compl_210129"	16.121	0.48145	3
"III12_210129"	14.895	0.32095	0
"HEK_210203"	147.88	0.32501	0
"HEK_201204"	27.666	1.9658	38
"III12_210129"	112.39	6.996	114
"HEK_210201"	10.045	0.42646	2
"HEK_210201"	143.85	0.37903	1
"III23_18compl_210129"	136.51	0.60516	5
"HEK_210201"	135.91	0.31036	0
"HEK_210201"	3.2297	0.32381	0
"HEK_210203"	30.309	4.9889	93
"VIII27_210129"	142.92	0.33234	0
"III12_210129"	145	0.32959	0
"HEK_210203"	4.248	0.32378	0
"III23_18compl_210129"	93.479	6.9443	118
"HEK_210203"	14.176	0.32124	0
"HEK_210203"	80.911	1.935	36
"III23_18compl_210129"	2.0713	0.3255	0
"III23_210201"	58.51	6.1636	104
"HEK_201204"	11.283	0.31958	0
"III23_210129"	13.591	0.36404	1
"III23_210129"	5.9924	0.32344	0
"III23_18compl_210129"	139.37	0.36163	1
"III23_210201"	7.1347	0.42289	2
"HEK_210201"	140.69	0.3186	0
"III12_210129"	1.6494	0.32372	0
"III23_210129"	141.29	0.3653	1
"III23_210201"	22.007	1.9344	36
"III23_18compl_210129"	141.47	0.60791	5
"III23_18compl_210129"	144.2	0.68115	6
"HEK_201204"	5.3066	0.36738	1
"HEK_210203"	91.873	6.5968	109
"III23_18compl_210129"	138.67	0.41656	2
"III23_210129"	8.0296	0.36844	1
"HEK_201204"	117.66	6.7305	105
"VIII27_210129"	148.74	0.3241	0
"III23_210129"	136.35	0.31586	0
